sample_name	PC1	PC2	module
MLL_11016	-10.73561964875628	2.435161386350852	Mod0 (grey)
MLL_11017	0.171748957533414	6.6227309678816075	Mod0 (grey)
MLL_11019	-1.308474543823121	-2.3502254185282982	Mod0 (grey)
MLL_11020	-2.5554505632069575	-3.135524833864725	Mod0 (grey)
MLL_11021	-0.41436096607882494	-2.2058446494488826	Mod0 (grey)
MLL_11023	2.0704186276875896	-2.916736627059203	Mod0 (grey)
MLL_11024	1.5474337409462453	7.711327664683528	Mod0 (grey)
MLL_11026	-3.440483334093032	-3.232321583825584	Mod0 (grey)
MLL_11028	8.171871028607299	-1.5323162149210985	Mod0 (grey)
MLL_11031	3.7292703927112223	3.328750168977189	Mod0 (grey)
MLL_11032	3.7421161668647995	-0.2294512170910966	Mod0 (grey)
MLL_11037	4.789635277814269	-0.7473263022348501	Mod0 (grey)
MLL_11038	-3.712064797968524	-0.9502965269753718	Mod0 (grey)
MLL_11039	-4.35291449675087	0.2064465338926625	Mod0 (grey)
MLL_11041	-0.3047185466643716	0.6491503163494062	Mod0 (grey)
MLL_11042	-7.796742880244128	0.4419886791729977	Mod0 (grey)
MLL_11044	4.446500618861099	-1.4469527967066038	Mod0 (grey)
MLL_11046	2.5312500152119695	6.439864660730885	Mod0 (grey)
MLL_11051	-3.7929806971660325	-3.0988060602932577	Mod0 (grey)
MLL_11052	-5.670291942815249	0.05701831484290769	Mod0 (grey)
MLL_11053	-1.8113766769184971	-3.2136265524476997	Mod0 (grey)
MLL_11054	7.541121676533267	-6.277501205916762	Mod0 (grey)
MLL_11056	-4.35445654422734	-0.9457155762078044	Mod0 (grey)
MLL_11058	-5.155283502087351	5.927408085835954	Mod0 (grey)
MLL_11060	-7.85779324028193	-0.3346961370844699	Mod0 (grey)
MLL_11061	1.636846092757931	-2.8148354006308316	Mod0 (grey)
MLL_11063	-1.0046664024028882	-0.6113617191632654	Mod0 (grey)
MLL_11064	0.7323753300349193	0.09944833946369	Mod0 (grey)
MLL_11065	3.6452196485557415	1.0083150661459515	Mod0 (grey)
MLL_11066	-1.668280538989869	1.6853455509711388	Mod0 (grey)
MLL_11067	2.7763352589487185	-1.1353342984752326	Mod0 (grey)
MLL_11068	2.331336896364283	-5.432030932005145	Mod0 (grey)
MLL_11069	-3.5278715759566026	-2.9853010474573938	Mod0 (grey)
MLL_11071	5.557659925020533	0.30447796256794774	Mod0 (grey)
MLL_11072	3.4220818433680082	-0.5286801002344141	Mod0 (grey)
MLL_11074	-1.3023160186438103	-1.508630413409979	Mod0 (grey)
MLL_11075	0.3191387016296914	-2.5439374095549816	Mod0 (grey)
MLL_11076	11.211555111935681	0.02224014065486829	Mod0 (grey)
MLL_11077	0.16253143936781309	-4.020290732039418	Mod0 (grey)
MLL_11078	-1.9826286680198408	-4.649816888089984	Mod0 (grey)
MLL_11080	-1.3585884755310538	-2.6430891195933577	Mod0 (grey)
MLL_11082	-0.03028068116892675	3.6154338790576523	Mod0 (grey)
MLL_11083	-9.04710491243586	-3.705924003456021	Mod0 (grey)
MLL_11086	-0.07188394060104318	0.17062735599628975	Mod0 (grey)
MLL_11087	-2.9114318573777287	0.21214794603059792	Mod0 (grey)
MLL_11089	-0.8395164102790715	0.37266981138318683	Mod0 (grey)
MLL_11091	-3.992900195961378	-4.1529545653904885	Mod0 (grey)
MLL_11092	-0.6757862691777277	2.375583650109411	Mod0 (grey)
MLL_11093	5.140828573952164	0.6243407671346993	Mod0 (grey)
MLL_11094	0.8020833784918193	0.14799271942527367	Mod0 (grey)
MLL_11096	-5.722581427656297	0.14469169180002858	Mod0 (grey)
MLL_11098	1.9068384751188052	-2.0942326386774304	Mod0 (grey)
MLL_11099	-6.067519408883256	-3.9767434052623325	Mod0 (grey)
MLL_11111	-5.115863595411273	-2.4516747991365144	Mod0 (grey)
MLL_11112	-3.2411214944911513	2.5205636559879583	Mod0 (grey)
